CaloINN_[0, 1, 2, 3, 4]: 0.10960032947728184
CaloDiffusion_[0, 1, 2, 3, 4]: 0.01450041880088132
CaloScore_[0, 1, 2, 3, 4]: 0.006900283296344763
CaloDream_[0, 1, 2, 3, 4]: 0.005425486951763441
CaloINN_[5, 6, 7, 8, 9]: 0.07165629428179274
CaloDiffusion_[5, 6, 7, 8, 9]: 0.025552184647727127
CaloScore_[5, 6, 7, 8, 9]: 0.024013960613203197
CaloDream_[5, 6, 7, 8, 9]: 0.013024888532993457
CaloINN_[10, 11, 12, 13, 14]: 0.2925312815419652
CaloDiffusion_[10, 11, 12, 13, 14]: 0.12948249885592278
CaloScore_[10, 11, 12, 13, 14]: 0.061757377556133766
CaloDream_[10, 11, 12, 13, 14]: 0.042127430800007304
CaloINN_[15, 16, 17, 18, 19]: 0.9157979817055901
CaloDiffusion_[15, 16, 17, 18, 19]: 0.37411984031613194
CaloScore_[15, 16, 17, 18, 19]: 0.2172443633235131
CaloDream_[15, 16, 17, 18, 19]: 0.1239226923221677
CaloINN_[20, 21, 22, 23, 24]: 0.7012479479080516
CaloDiffusion_[20, 21, 22, 23, 24]: 0.9954102533660109
CaloScore_[20, 21, 22, 23, 24]: 0.4484798917481305
CaloDream_[20, 21, 22, 23, 24]: 0.6671920744097785
CaloINN_[25, 26, 27, 28, 29]: 3.2928752325692523
CaloDiffusion_[25, 26, 27, 28, 29]: 2.0519696532795733
CaloScore_[25, 26, 27, 28, 29]: 0.9126985266449473
CaloDream_[25, 26, 27, 28, 29]: 0.6584715922756337
CaloINN_[30, 31, 32, 33, 34]: 5.422363790086217
CaloDiffusion_[30, 31, 32, 33, 34]: 2.841903314050704
CaloScore_[30, 31, 32, 33, 34]: 1.4827773555233459
CaloDream_[30, 31, 32, 33, 34]: 1.6135221660681052
CaloINN_[35, 36, 37, 38, 39]: 9.963360605654143
CaloDiffusion_[35, 36, 37, 38, 39]: 3.2440426695282794
CaloScore_[35, 36, 37, 38, 39]: 1.5991168668776603
CaloDream_[35, 36, 37, 38, 39]: 1.9829741209343024
CaloINN_[40, 41, 42, 43, 44]: 18.000480145276633
CaloDiffusion_[40, 41, 42, 43, 44]: 4.394465832635595
CaloScore_[40, 41, 42, 43, 44]: 1.1425092403230108
CaloDream_[40, 41, 42, 43, 44]: 1.9636856367226037
