CaloINN_[0, 1, 2, 3, 4]: 0.09506960661508805
CaloDiffusion_[0, 1, 2, 3, 4]: 0.001658827640271762
CaloScore_[0, 1, 2, 3, 4]: 0.0005374622995026305
CaloDream_[0, 1, 2, 3, 4]: 0.00035186144954795
CaloINN_[5, 6, 7, 8, 9]: 0.01713481306173835
CaloDiffusion_[5, 6, 7, 8, 9]: 0.0017109041059871189
CaloScore_[5, 6, 7, 8, 9]: 0.0008662096026381729
CaloDream_[5, 6, 7, 8, 9]: 0.00046848639340263355
CaloINN_[10, 11, 12, 13, 14]: 0.04030349775771324
CaloDiffusion_[10, 11, 12, 13, 14]: 0.0024722910152855343
CaloScore_[10, 11, 12, 13, 14]: 0.0012877063762186012
CaloDream_[10, 11, 12, 13, 14]: 0.0005944817716859945
CaloINN_[15, 16, 17, 18, 19]: 0.023458678484178902
CaloDiffusion_[15, 16, 17, 18, 19]: 0.002613276360716391
CaloScore_[15, 16, 17, 18, 19]: 0.0009159025094259333
CaloDream_[15, 16, 17, 18, 19]: 0.0006152116940260233
CaloINN_[20, 21, 22, 23, 24]: 0.010240226247114747
CaloDiffusion_[20, 21, 22, 23, 24]: 0.003987901338794141
CaloScore_[20, 21, 22, 23, 24]: 0.0023266886042913474
CaloDream_[20, 21, 22, 23, 24]: 0.0015637608063719494
CaloINN_[25, 26, 27, 28, 29]: 0.018527631018467914
CaloDiffusion_[25, 26, 27, 28, 29]: 0.008858962170644271
CaloScore_[25, 26, 27, 28, 29]: 0.005246595080483355
CaloDream_[25, 26, 27, 28, 29]: 0.0022769613039694157
CaloINN_[30, 31, 32, 33, 34]: 0.04391995861893065
CaloDiffusion_[30, 31, 32, 33, 34]: 0.013942851183180071
CaloScore_[30, 31, 32, 33, 34]: 0.006352905356989652
CaloDream_[30, 31, 32, 33, 34]: 0.004243065604703004
CaloINN_[35, 36, 37, 38, 39]: 0.10654335751884944
CaloDiffusion_[35, 36, 37, 38, 39]: 0.023350065689210907
CaloScore_[35, 36, 37, 38, 39]: 0.0069056360340184605
CaloDream_[35, 36, 37, 38, 39]: 0.003771693024008609
CaloINN_[40, 41, 42, 43, 44]: 0.22569989034748283
CaloDiffusion_[40, 41, 42, 43, 44]: 0.05071591379959579
CaloScore_[40, 41, 42, 43, 44]: 0.010449644665712132
CaloDream_[40, 41, 42, 43, 44]: 0.00927328595112964
